% CrIS April 2009 fast model
% by Scott Hannon/Larrabee Strow @ UMBC
%
% RMS and bias errors for the 48 training
% profiles at 5 angles each.
%    dBT = BT_truth - BT_fastmodel
%    RMS = sqrt(mean(dBT.^2))
%    bias = mean(dBT)
% No reflected thermal or solar radiance
% contributions. Standard/default trace gas
% amounts. 
%
% Units:
%    frequency in wavenumber
%    mean BT, RMS, and bias in Kelvin
%
% ID     freq    mean BT     RMS        bias
%----  --------  -------   ---------  ----------
  149   742.500  245.709   7.925E-02  -3.219E-03
  150   743.125  251.880   4.525E-02  -2.866E-03
  151   743.750  248.019   9.727E-02  -4.636E-02
  152   744.375  250.099   8.009E-02  -1.779E-02
  153   745.000  249.644   4.752E-02  -2.398E-03
  154   745.625  252.096   5.654E-02  -1.301E-02
  155   746.250  255.914   3.233E-02   6.316E-03
  156   746.875  252.603   5.073E-02   3.439E-03
  157   747.500  256.778   4.358E-02   9.167E-03
  158   748.125  253.630   5.947E-02   2.663E-03
  159   748.750  255.598   5.591E-02   6.265E-03
  160   749.375  257.040   5.052E-02  -1.180E-02
  161   750.000  255.010   4.491E-02  -9.397E-03
  162   750.625  258.261   3.949E-02   1.153E-02
  163   751.250  256.082   5.885E-02   1.159E-02
  164   751.875  258.413   4.772E-02  -8.072E-04
  165   752.500  257.703   5.308E-02   1.417E-03
  166   753.125  258.014   5.380E-02   1.155E-02
  167   753.750  258.802   4.953E-02   8.176E-03
  168   754.375  255.476   7.656E-02   1.787E-02
  169   755.000  259.800   5.467E-02   1.067E-02
  170   755.625  260.164   5.027E-02  -6.816E-04
  171   756.250  261.606   4.486E-02   1.619E-02
  172   756.875  262.271   3.979E-02   5.296E-03
  173   757.500  261.402   5.403E-02   8.238E-03
  174   758.125  264.865   3.476E-02   1.550E-02
  175   758.750  264.093   4.671E-02   1.350E-02
  176   759.375  265.710   3.510E-02   1.080E-02
  177   760.000  265.344   3.883E-02   2.542E-03
  178   760.625  265.188   4.133E-02   7.219E-03
  179   761.250  266.644   2.986E-02   6.049E-03
  180   761.875  265.782   4.522E-02   1.262E-02
  181   762.500  267.299   2.310E-02   3.554E-03
  182   763.125  266.644   3.517E-02   1.149E-02
  183   763.750  267.202   2.500E-02   2.625E-03
  184   764.375  267.445   2.093E-02   1.209E-03
  185   765.000  267.221   2.454E-02   2.746E-03
  186   765.625  268.317   1.425E-02   2.074E-03
  187   766.250  267.778   1.851E-02   4.921E-03
  188   766.875  268.123   1.446E-02  -1.599E-04
  189   767.500  267.956   1.467E-02   1.601E-03
  190   768.125  267.793   1.704E-02   1.519E-03
